"source","PlotNo","oatName","peaName"
"oatE 41   plots 2","258","IL21-4364","NDP250178Y peaE 152"
"oatE 42   plots 2","357","IL21-5917","NDP170104Y peaE 214"
"oatE 42   plots 2","360","IL21-5917","NDP250122Y peaE 96"
"oatE 43   plots 1","038","IL21-5955","NDP170104Y peaE 214"
"oatE 44   plots 4","092","IL21-5956","NDP170008G peaE 194"
"oatE 44   plots 4","102","IL21-5956","NDP250088Y peaE 62"
"oatE 44   plots 4","144","IL21-5956","NDP250136G peaE 110"
"oatE 44   plots 4","318","IL21-5956","NDP250107G peaE 81"
"oatE 45   plots 2","323","IL21-6116","NDP170094Y peaE 211"
"oatE 45   plots 2","374","IL21-6116","NDP170004G peaE 192"
"oatE 46   plots 1","177","IL21-6257","NDP170253Y peaE 234"
"oatE 47   plots 3","091","IL21-7653","NDP250029Y peaE 3"
"oatE 47   plots 3","158","IL21-7653","NDP250077Y peaE 51"
"oatE 47   plots 3","300","IL21-7653","NDP250029Y peaE 3"
"oatE 48   plots 1","137","IL21-7822","ND VICTORY peaE 165"
"oatE 49   plots 5","101","IL21-8143","NDP250089Y peaE 63"
"oatE 49   plots 5","160","IL21-8143","NDP250164Y peaE 138"
"oatE 49   plots 5","164","IL21-8143","NDP250081Y peaE 55"
"oatE 49   plots 5","358","IL21-8143","NDP250168Y peaE 142"
"oatE 49   plots 5","388","IL21-8143","NDP170052G peaE 205"
"oatE 51   plots 2","043","IL22-948","NDP250044Y peaE 18"
"oatE 51   plots 2","122","IL22-948","NDP170094Y peaE 211"
"oatE 52   plots 1","044","IL22-1019","NDP250053G peaE 27"
"oatE 53   plots 1","210","IL22-1256","NDP250073Y peaE 47"
