bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
562,139,NDP250165Y,5,228.6,3,NY
563,140,NDP250166Y,1,71.4,1,AL
564,140,NDP250166Y,2,356.8,5,IA
565,141,NDP250167Y,1,127.2,2,AL
566,141,NDP250167Y,3,63.6,1,IL
567,141,NDP250167Y,4,127.2,2,ND
568,141,NDP250167Y,5,63.6,1,NY
569,142,NDP250168Y,1,129.6,2,AL
570,142,NDP250168Y,2,64.8,1,IA
571,142,NDP250168Y,3,129.6,2,IL
572,142,NDP250168Y,4,64.8,1,ND
573,142,NDP250168Y,5,64.8,1,NY
574,143,NDP250169Y,1,157.2,2,AL
575,143,NDP250169Y,2,78.6,1,IA
576,143,NDP250169Y,3,157.2,2,IL
577,143,NDP250169Y,4,235.8,3,ND
578,144,NDP250170Y,2,126,2,IA
579,144,NDP250170Y,3,126,2,IL
580,144,NDP250170Y,4,126,2,ND
581,144,NDP250170Y,5,126,2,NY
582,145,NDP250171Y,1,129.1,2,AL
583,145,NDP250171Y,2,64.6,1,IA
584,145,NDP250171Y,3,129.1,2,IL
585,145,NDP250171Y,4,64.6,1,ND
586,146,NDP250172Y,1,71.4,1,AL
587,146,NDP250172Y,2,214.2,3,IA
588,146,NDP250172Y,3,214.2,3,IL
589,146,NDP250172Y,4,142.8,2,ND
590,146,NDP250172Y,5,214.2,3,NY
591,147,NDP250173Y,1,207,3,AL
592,147,NDP250173Y,2,69,1,IA
593,147,NDP250173Y,3,345,5,IL
594,147,NDP250173Y,5,207,3,NY
595,148,NDP250174Y,1,246,4,AL
596,148,NDP250174Y,2,184.5,3,IA
597,148,NDP250174Y,3,123,2,IL
598,149,NDP250175Y,1,68.4,1,AL
599,149,NDP250175Y,2,68.4,1,IA
600,149,NDP250175Y,4,136.8,2,ND
601,149,NDP250175Y,5,68.4,1,NY
602,150,NDP250176Y,1,63,1,AL
603,150,NDP250176Y,2,126,2,IA
604,150,NDP250176Y,4,63,1,ND
605,151,NDP250177Y,1,237.5,3,AL
606,151,NDP250177Y,2,79.2,1,IA
607,151,NDP250177Y,3,158.3,2,IL
608,151,NDP250177Y,4,237.5,3,ND
609,151,NDP250177Y,5,79.2,1,NY
610,152,NDP250178Y,1,75.2,1,AL
611,152,NDP250178Y,2,75.2,1,IA
612,152,NDP250178Y,3,150.3,2,IL
613,152,NDP250178Y,4,300.6,4,ND
614,152,NDP250178Y,5,225.5,3,NY
615,153,NDP250179Y,1,58.8,1,AL
616,153,NDP250179Y,2,58.8,1,IA
617,153,NDP250179Y,3,58.8,1,IL
