"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
548,"IL23-2010",3,24,1,"IL",195
549,"IL23-2021",1,72,3,"AL",196
550,"IL23-2021",2,24,1,"IA",196
551,"IL23-2021",3,24,1,"IL",196
552,"IL23-2021",4,24,1,"ND",196
553,"IL23-2021",5,24,1,"NY",196
554,"IL23-2034",1,48,2,"AL",197
555,"IL23-2034",2,24,1,"IA",197
556,"IL23-2034",3,72,3,"IL",197
557,"IL23-2034",4,24,1,"ND",197
558,"IL23-2034",5,24,1,"NY",197
559,"IL23-2134",1,48,2,"AL",198
560,"IL23-2134",2,72,3,"IA",198
561,"IL23-2134",3,24,1,"IL",198
562,"IL23-2134",5,24,1,"NY",198
563,"IL23-2154",3,24,1,"IL",199
564,"IL23-2154",4,48,2,"ND",199
565,"IL23-2235",2,72,3,"IA",200
566,"IL23-2235",3,72,3,"IL",200
567,"IL23-2235",5,48,2,"NY",200
568,"IL23-2246",1,96,4,"AL",201
569,"IL23-2246",3,24,1,"IL",201
570,"IL23-2246",4,48,2,"ND",201
571,"IL23-2253",1,24,1,"AL",202
572,"IL23-2253",2,48,2,"IA",202
573,"IL23-2253",3,72,3,"IL",202
574,"IL23-2253",4,48,2,"ND",202
575,"IL23-236",1,48,2,"AL",81
576,"IL23-236",2,24,1,"IA",81
577,"IL23-236",4,24,1,"ND",81
578,"IL23-236",5,72,3,"NY",81
579,"IL23-2371",1,24,1,"AL",203
580,"IL23-2371",2,96,4,"IA",203
581,"IL23-2371",5,24,1,"NY",203
582,"IL23-2443",1,48,2,"AL",204
583,"IL23-2443",2,48,2,"IA",204
584,"IL23-2443",3,168,7,"IL",204
585,"IL23-2443",4,24,1,"ND",204
586,"IL23-2443",5,24,1,"NY",204
587,"IL23-2458",1,24,1,"AL",205
588,"IL23-2458",2,48,2,"IA",205
589,"IL23-2458",4,24,1,"ND",205
590,"IL23-2458",5,48,2,"NY",205
591,"IL23-247",1,48,2,"AL",82
592,"IL23-247",2,120,5,"IA",82
593,"IL23-247",3,72,3,"IL",82
594,"IL23-247",4,48,2,"ND",82
595,"IL23-247",5,24,1,"NY",82
596,"IL23-250",1,24,1,"AL",83
597,"IL23-250",2,48,2,"IA",83
598,"IL23-250",3,72,3,"IL",83
599,"IL23-250",4,48,2,"ND",83
600,"IL23-250",5,48,2,"NY",83
601,"IL23-251",1,72,3,"AL",84
602,"IL23-251",2,48,2,"IA",84
603,"IL23-251",4,72,3,"ND",84
604,"IL23-2554",1,72,3,"AL",206
605,"IL23-2554",2,24,1,"IA",206
606,"IL23-2554",3,24,1,"IL",206
607,"IL23-2554",4,24,1,"ND",206
608,"IL23-259",1,24,1,"AL",85
609,"IL23-259",2,96,4,"IA",85
610,"IL23-259",3,24,1,"IL",85
611,"IL23-259",4,72,3,"ND",85
612,"IL23-259",5,144,6,"NY",85
613,"IL23-260",1,96,4,"AL",86
614,"IL23-260",2,48,2,"IA",86
615,"IL23-260",4,48,2,"ND",86
616,"IL23-260",5,24,1,"NY",86
617,"IL23-2625",1,24,1,"AL",207
618,"IL23-2625",3,24,1,"IL",207
619,"IL23-2625",4,48,2,"ND",207
620,"IL23-2625",5,72,3,"NY",207
621,"IL23-267",1,24,1,"AL",87
622,"IL23-267",2,48,2,"IA",87
623,"IL23-267",3,24,1,"IL",87
624,"IL23-267",5,24,1,"NY",87
625,"IL23-268",1,96,4,"AL",88
626,"IL23-268",2,48,2,"IA",88
627,"IL23-268",3,24,1,"IL",88
628,"IL23-268",4,72,3,"ND",88
