consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
28,IL24-3021,24,3021,3,24,72,2,2,3,1,2,10,360,111,28,IL24-3021,ND,120 g,111  ( ND--28 ),IL24-3021,B4i-26 Oat seed ~120 g
28,IL24-3021,24,3021,3,24,72,2,2,3,1,2,10,360,112,28,IL24-3021,NY,120 g,112  ( NY--28 ),IL24-3021,B4i-26 Oat seed ~120 g
29,IL24-7525,24,7525,2,24,48,2,2,2,1,1,8,312,113,29,IL24-7525,AL,120 g,113  ( AL--29 ),IL24-7525,B4i-26 Oat seed ~120 g
29,IL24-7525,24,7525,2,24,48,2,2,2,1,1,8,312,114,29,IL24-7525,IA,120 g,114  ( IA--29 ),IL24-7525,B4i-26 Oat seed ~120 g
29,IL24-7525,24,7525,2,24,48,2,2,2,1,1,8,312,115,29,IL24-7525,ND,120 g,115  ( ND--29 ),IL24-7525,B4i-26 Oat seed ~120 g
29,IL24-7525,24,7525,2,24,48,2,2,2,1,1,8,312,116,29,IL24-7525,NY,120 g,116  ( NY--29 ),IL24-7525,B4i-26 Oat seed ~120 g
30,IL24-2665,24,2665,3,24,72,1,2,3,1,2,9,336,117,30,IL24-2665,AL,120 g,117  ( AL--30 ),IL24-2665,B4i-26 Oat seed ~120 g
30,IL24-2665,24,2665,3,24,72,1,2,3,1,2,9,336,118,30,IL24-2665,IA,120 g,118  ( IA--30 ),IL24-2665,B4i-26 Oat seed ~120 g
30,IL24-2665,24,2665,3,24,72,1,2,3,1,2,9,336,119,30,IL24-2665,ND,120 g,119  ( ND--30 ),IL24-2665,B4i-26 Oat seed ~120 g
30,IL24-2665,24,2665,3,24,72,1,2,3,1,2,9,336,120,30,IL24-2665,NY,120 g,120  ( NY--30 ),IL24-2665,B4i-26 Oat seed ~120 g
31,IL24-8005,24,8005,1,24,24,1,1,0,1,1,4,216,121,31,IL24-8005,AL,120 g,121  ( AL--31 ),IL24-8005,B4i-26 Oat seed ~120 g
31,IL24-8005,24,8005,1,24,24,1,1,0,1,1,4,216,122,31,IL24-8005,IA,120 g,122  ( IA--31 ),IL24-8005,B4i-26 Oat seed ~120 g
